QUEST_UNUSED_20150317_000001	
QUEST_UNUSED_20150317_000002	
QUEST_UNUSED_20150317_000003	
QUEST_UNUSED_20150317_000004	
QUEST_UNUSED_20150317_000005	門番フクロウの彫像
QUEST_UNUSED_20150317_000006	テスラ様は木を掘って私たちを作ってくれました。{nl}だから、私たちフクロウはいつも恩返しをしたいと思ってるんですよ。{nl}
QUEST_UNUSED_20150317_000007	そこでなんですけど、お願いしたいことがあるんです。{nl}大聖堂で大理石の欠片を集めてテスラ様に届けてくれませんか？
QUEST_UNUSED_20150317_000008	大聖堂の大理石なら、テスラ様に喜んでもらえると思うんです。
QUEST_UNUSED_20150317_000009	フクロウの彫像たちからの贈り物か？{nl}あのかわいい奴らこそが、わしの生きて来た証なんじゃよ。{nl}
QUEST_UNUSED_20150317_000010	とにかく…何だか今日は良い事がありそうな気がしていたが…ありがたい事じゃの。
QUEST_UNUSED_20150317_000011	君をクラペダで初めて見た時は、その細い腕で剣を扱えるのかと心配していたが…{nl}しかし、今は多くの者たちに賞賛される勇者中の勇者になったな。{nl}
QUEST_UNUSED_20150317_000012	だが、私は君の勇気をこの目で確認したいと思っている。{nl}この暗い森を魔気で覆うバンシー…。君にはピッタリの挑戦だろう。
QUEST_UNUSED_20150317_000013	大したことではない。ただ狩るだけだからな。{nl}では、クラペダで待っているぞ。
QUEST_UNUSED_20150317_000014	来たか。待っていたぞ。{nl}これなら君の勇気にふさわしい報酬だろう。
QUEST_UNUSED_20150317_000015	フフ、本当に頑張るね。{nl}あんたがまだ見習いウィザードだった時を思い出したよ。あの時も頑張ってたよね…。{nl}
QUEST_UNUSED_20150317_000016	今のあんたがどれだけ成長したのか、見せてよ。{nl}この森を荒らすバンシーならちょうど良いんじゃない？
QUEST_UNUSED_20150317_000017	試験と言うより、良い事をするんだと思えばいいよ。{nl}じゃあ、後でクラペダで会おうね。
QUEST_UNUSED_20150317_000018	うん、見事に倒して来たね。{nl}次に会う時にはどんな姿になってるか、楽しみだな。
QUEST_UNUSED_20150317_000019	
QUEST_UNUSED_20150317_000020	君が本当にその名声に見合っているのか、私と賭けをしてみないか？{nl}この森を覆っている目障りなバンシーどもを全部退治するんだ。どうだ？
QUEST_UNUSED_20150317_000021	本当は賭けなんてどうでもいいんだ。私に会ったことが大事だからな。{nl}じゃあ、クラペダで待ってるぞ。
QUEST_UNUSED_20150317_000022	来たか。君には本当に驚かされる。{nl}次はどれだけ成長した姿を見せてくれるか、楽しみにしてるぞ。
QUEST_UNUSED_20150317_000023	最初にクラペダにいらした時よりも、女神の恵みに満ちていますね。{nl}あなたの信仰心がどれだけ深いのかを見せてください。{nl}
QUEST_UNUSED_20150317_000024	もちろん、抽象的な基準で信仰心を測るつもりはありません。{nl}この森に魔気をもたらすバンシーたちを、女神の名のもとに退治してください。
QUEST_UNUSED_20150317_000025	女神の敵は我らの敵なのです。{nl}では、クラペダでお会いしましょう。
QUEST_UNUSED_20150317_000026	戻られましたか。あなたは素晴らしい信仰心を示してくださいました。{nl}そして、私に様々なことを教えてくださいましたね。{nl}これは私からのささやかな真心です。どうか、正しい道にお使いください。
QUEST_UNUSED_20150317_000027	以前は静かだったここが、今ではモンスターのせいで騒がしい場所になってしまいました。
QUEST_UNUSED_20150317_000028	あのモンスターを放置しておけば、ここに集まる霊魂を攻撃して踏みにじるかもしれません。
QUEST_UNUSED_20150317_000029	奴らが少しでも減ったので、とても気分が良くなりました。
QUEST_UNUSED_20150317_000030	人は家族の遺骨箱をここに埋めたりするんですよ。{nl}今はモンスターに荒らされて、地上に放置されていますが…。
QUEST_UNUSED_20150317_000031	ここで遺族たちの悲しい泣き声が聞こえたあの頃が…今考えると一番良い時代でしたね。
QUEST_UNUSED_20150317_000032	まだ回収できていない遺物箱が沢山ありますが、これだけでも守れて良かったと思います。
